NodeID,NodeName
N001,lh_G_and_S_frontomargin
N002,lh_G_and_S_occipital_inf
N003,lh_G_and_S_paracentral
N004,lh_G_and_S_subcentral
N005,lh_G_and_S_transv_frontopol
N006,lh_G_and_S_cingul_Ant
N007,lh_G_and_S_cingul_Mid_Ant
N008,lh_G_and_S_cingul_Mid_Post
N009,lh_G_cingul_Post_dorsal
N010,lh_G_cingul_Post_ventral
N011,lh_G_cuneus
N012,lh_G_front_inf_Opercular
N013,lh_G_front_inf_Orbital
N014,lh_G_front_inf_Triangul
N015,lh_G_front_middle
N016,lh_G_front_sup
N017,lh_G_Ins_lg_and_S_cent_ins
N018,lh_G_insular_short
N019,lh_G_occipital_middle
N020,lh_G_occipital_sup
N021,lh_G_oc_temp_lat_fusifor
N022,lh_G_oc_temp_med_Lingual
N023,lh_G_oc_temp_med_Parahip
N024,lh_G_orbital
N025,lh_G_pariet_inf_Angular
N026,lh_G_pariet_inf_Supramar
N027,lh_G_parietal_sup
N028,lh_G_postcentral
N029,lh_G_precentral
N030,lh_G_precuneus
N031,lh_G_rectus
N032,lh_G_subcallosal
N033,lh_G_temp_sup_G_T_transv
N034,lh_G_temp_sup_Lateral
N035,lh_G_temp_sup_Plan_polar
N036,lh_G_temp_sup_Plan_tempo
N037,lh_G_temporal_inf
N038,lh_G_temporal_middle
N039,lh_Lat_Fis_ant_Horizont
N040,lh_Lat_Fis_ant_Vertical
N041,lh_Lat_Fis_post
N042,lh_Pole_occipital
N043,lh_Pole_temporal
N044,lh_S_calcarine
N045,lh_S_central
N046,lh_S_cingul_Marginalis
N047,lh_S_circular_insula_ant
N048,lh_S_circular_insula_inf
N049,lh_S_circular_insula_sup
N050,lh_S_collat_transv_ant
N051,lh_S_collat_transv_post
N052,lh_S_front_inf
N053,lh_S_front_middle
N054,lh_S_front_sup
N055,lh_S_interm_prim_Jensen
N056,lh_S_intrapariet_and_P_trans
N057,lh_S_oc_middle_and_Lunatus
N058,lh_S_oc_sup_and_transversal
N059,lh_S_occipital_ant
N060,lh_S_oc_temp_lat
N061,lh_S_oc_temp_med_and_Lingual
N062,lh_S_orbital_lateral
N063,lh_S_orbital_med_olfact
N064,lh_S_orbital_H_Shaped
N065,lh_S_parieto_occipital
N066,lh_S_pericallosal
N067,lh_S_postcentral
N068,lh_S_precentral_inf_part
N069,lh_S_precentral_sup_part
N070,lh_S_suborbital
N071,lh_S_subparietal
N072,lh_S_temporal_inf
N073,lh_S_temporal_sup
N074,lh_S_temporal_transverse
N075,rh_G_and_S_frontomargin
N076,rh_G_and_S_occipital_inf
N077,rh_G_and_S_paracentral
N078,rh_G_and_S_subcentral
N079,rh_G_and_S_transv_frontopol
N080,rh_G_and_S_cingul_Ant
N081,rh_G_and_S_cingul_Mid_Ant
N082,rh_G_and_S_cingul_Mid_Post
N083,rh_G_cingul_Post_dorsal
N084,rh_G_cingul_Post_ventral
N085,rh_G_cuneus
N086,rh_G_front_inf_Opercular
N087,rh_G_front_inf_Orbital
N088,rh_G_front_inf_Triangul
N089,rh_G_front_middle
N090,rh_G_front_sup
N091,rh_G_Ins_lg_and_S_cent_ins
N092,rh_G_insular_short
N093,rh_G_occipital_middle
N094,rh_G_occipital_sup
N095,rh_G_oc_temp_lat_fusifor
N096,rh_G_oc_temp_med_Lingual
N097,rh_G_oc_temp_med_Parahip
N098,rh_G_orbital
N099,rh_G_pariet_inf_Angular
N100,rh_G_pariet_inf_Supramar
N101,rh_G_parietal_sup
N102,rh_G_postcentral
N103,rh_G_precentral
N104,rh_G_precuneus
N105,rh_G_rectus
N106,rh_G_subcallosal
N107,rh_G_temp_sup_G_T_transv
N108,rh_G_temp_sup_Lateral
N109,rh_G_temp_sup_Plan_polar
N110,rh_G_temp_sup_Plan_tempo
N111,rh_G_temporal_inf
N112,rh_G_temporal_middle
N113,rh_Lat_Fis_ant_Horizont
N114,rh_Lat_Fis_ant_Vertical
N115,rh_Lat_Fis_post
N116,rh_Pole_occipital
N117,rh_Pole_temporal
N118,rh_S_calcarine
N119,rh_S_central
N120,rh_S_cingul_Marginalis
N121,rh_S_circular_insula_ant
N122,rh_S_circular_insula_inf
N123,rh_S_circular_insula_sup
N124,rh_S_collat_transv_ant
N125,rh_S_collat_transv_post
N126,rh_S_front_inf
N127,rh_S_front_middle
N128,rh_S_front_sup
N129,rh_S_interm_prim_Jensen
N130,rh_S_intrapariet_and_P_trans
N131,rh_S_oc_middle_and_Lunatus
N132,rh_S_oc_sup_and_transversal
N133,rh_S_occipital_ant
N134,rh_S_oc_temp_lat
N135,rh_S_oc_temp_med_and_Lingual
N136,rh_S_orbital_lateral
N137,rh_S_orbital_med_olfact
N138,rh_S_orbital_H_Shaped
N139,rh_S_parieto_occipital
N140,rh_S_pericallosal
N141,rh_S_postcentral
N142,rh_S_precentral_inf_part
N143,rh_S_precentral_sup_part
N144,rh_S_suborbital
N145,rh_S_subparietal
N146,rh_S_temporal_inf
N147,rh_S_temporal_sup
N148,rh_S_temporal_transverse
